review_text,rating,product_category
"Absolutely love this product! Works better than I expected.",5,electronics
"The item arrived damaged and the quality is poor.",1,home goods
"Decent product for the price, but could be improved.",3,clothing
"Worst purchase ever! Complete waste of money.",1,electronics
"Fantastic value and excellent customer service!",5,home goods
"Not bad, but the shipping took too long.",3,clothing
"This exceeded all my expectations. Perfect!",5,electronics
"Mediocre at best. I've seen better quality elsewhere.",2,home goods
"Works okay but the instructions were unclear.",3,electronics
"Terrible experience from start to finish.",1,clothing
"The product is good but the packaging was damaged.",4,home goods
"Absolutely perfect! Will buy again for sure.",5,electronics
"Average product, nothing special about it.",3,clothing
"Much better than the competitor's version!",5,home goods
"Stopped working after just 2 days of use.",1,electronics
"Good quality but the color was different than pictured.",3,clothing
"Excellent product with fast shipping!",5,home goods
"Not worth the price at all. Very disappointed.",2,electronics
"Pretty good overall, but has some minor flaws.",4,clothing
"Best purchase I've made this year!",5,home goods
